ticker,cik,fiscal_year,operating_income,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_debt,long_term_debt,shares_outstanding,revenue,ebit,ebitda,gross_debt,net_debt,nwc,delta_nwc,effective_tax_rate
AACG,1420529,2020,-16.471782,,-1.573768,-14.129966,4.584493,0.752552,18.534805,42.12775,17.275622,1.042299,,62357078,24.853264,-16.471782,-11.887289,1.042299,-16.233323,-41.910866,,
AACG,1420529,2021,-10.417959,,-0.241593,-5.280357,3.6132,0.698551,11.833027,42.051693,11.194702,,,62701002,31.731078,-10.417959,-6.804759,0.0,-11.194702,-41.413368,0.4974980000000002,
AACG,1420529,2022,-8.20428,,-0.85852,-6.943819,3.275339,0.234637,9.462177,42.414678,7.97138,,,62753840,29.986208,-8.20428,-4.928941000000001,0.0,-7.97138,-40.923880999999994,0.489487000000004,
AACG,1420529,2023,-5.844576,,-0.959409,-4.740947,3.096435,0.315512,9.921955,44.282665,8.474377,,,62753840,31.214379,-5.844576,-2.748141,0.0,-8.474377,-42.835087,-1.911206000000007,
AACG,1420529,2024,-5.897024,,-0.877028,-4.945374,3.319013,2.7434,9.129598,48.565672,5.003767,,,62893960,36.724092,-5.897024,-2.578011,0.0,-5.003767,-44.439841,-1.6047539999999998,
