ticker,cik,fiscal_year,revenue,ebit,ebitda,interest_expense,tax_expense,net_income,d_and_a,capex,assets_current,liabilities_current,cash,short_term_borrowings,long_term_debt_current,long_term_debt_noncurrent,gross_debt,net_debt,shares_out,nwc,delta_nwc,effective_tax_rate
NVDA,0001045810,2022,26914000000,10041000000,11215000000,236000000,189000000,9752000000,1174000000,,28829000000,4335000000,1990000000,0,0,10946000000,10946000000,8956000000,,22504000000,13219000000,0.019012171813700834
NVDA,0001045810,2023,26974000000,4224000000,5768000000,262000000,-187000000,4368000000,1544000000,,23073000000,6563000000,3389000000,1250000000,1250000000,9703000000,12203000000,8814000000,,10621000000,-11883000000,-0.044726142071274816
NVDA,0001045810,2024,60922000000,32972000000,34480000000,257000000,4058000000,29760000000,1508000000,,44345000000,10631000000,7280000000,1250000000,1250000000,8459000000,10959000000,3679000000,,23934000000,13313000000,0.1199952687917677
NVDA,0001045810,2025,130497000000,81453000000,83317000000,,11146000000,72880000000,1864000000,,80126000000,18047000000,8589000000,0,0,8463000000,8463000000,-126000000,,53490000000,29556000000,0.13264941803727417
TSLA,0001318605,2020,10744000000,1994000000,,748000000,292000000,270000000,,3157000000,26717000000,14248000000,19384000000,1758000000,,,1758000000,-17626000000,,-8673000000,,0.5195729537366548
TSLA,0001318605,2021,53823000000,6523000000,,371000000,699000000,5519000000,,6482000000,27100000000,19705000000,17576000000,1088000000,,,1088000000,-16488000000,,-11269000000,-2596000000,0.11241556770665809
TSLA,0001318605,2022,81462000000,13656000000,,191000000,1132000000,12556000000,,7158000000,40917000000,26709000000,16253000000,1016000000,,,1016000000,-15237000000,,-3061000000,8208000000,0.08270017533606078
TSLA,0001318605,2023,96773000000,8891000000,,156000000,-5001000000,14997000000,,8898000000,49616000000,28748000000,16398000000,1975000000,,,1975000000,-14423000000,,2495000000,5556000000,-0.5003001200480192
TSLA,0001318605,2024,97690000000,7076000000,,,1837000000,7091000000,,11339000000,58360000000,28821000000,16139000000,2343000000,,,2343000000,-13796000000,,11057000000,8562000000,0.20575716845878136
ORCL,0001341439,2021,40479000000,15213000000,16750000000,2496000000,-747000000,13746000000,1537000000,2135000000,55567000000,24164000000,30098000000,8250000000,,,8250000000,-21848000000,,-6945000000,,-0.05746595891991692
